ticker,COVID Crash,ChatGPT / AI Rally,Chip Export Ban v1,Chip Export Ban v2,CrowdStrike Outage,DeepSeek / Tariff Shock,Inflation / Rate Hikes,SVB Collapse
AAPL,-0.3518946496754823,0.04745012275353514,-0.03740977376021187,-0.008823545293605795,0.0005797448740643955,0.02162460303219527,-0.21659020245650448,0.009127082215739084
AMD,-0.31205833894498025,0.05616623679674595,-0.14929880040853744,-0.012476529558710365,-0.027267037302849146,-0.10604812627456896,-0.892598617468606,0.08818796301280826
AMZN,-0.12475930962602483,0.043614054085946284,-0.04888996644735069,-0.008181257764936053,-0.0033798282769946274,-0.007307909588274535,-0.39307789369132784,0.027933240606831986
ANET,-0.3327499838494043,0.0409565768548415,-0.04608257528582288,-0.00729126328078276,-0.006242597261558133,-0.07172274916063369,-0.32455050456981666,0.0737179852134674
AVGO,-0.47386628694245414,0.0552909447503728,-0.040474479245561204,-0.020336814864302343,-0.01994590971525566,-0.04027727411641926,-0.41825296244215737,0.0014226571069850726
CRM,-0.3073946442866903,0.054962105581376076,-0.03382179071592197,0.006262408180050249,0.0011313540060117742,-0.020210019570844992,-0.5580823191098923,-0.002239050984905079
CRWD,-0.24965015580633748,-0.15953955701418682,-0.03717557402667282,-0.002828094960105795,-0.11769558110704909,0.13455774696464604,-0.2939695638859968,0.03453642660711498
DDOG,-0.3583756171338629,0.050335318042181505,-0.06165287025217341,-0.0012158624254896666,0.0017658115651562956,0.04242366426103687,-0.7891874974517743,-0.10236519632844372
GOOG,-0.36341801622772696,0.06106823282023057,-0.026462058399895426,0.0035526538750473057,0.0009480950413543982,-0.07026728415262679,-0.3722550178906927,0.024959400404747235
META,-0.38568946202472687,0.07597253293135241,-0.04125060317385803,0.008835231093714502,0.0019734689537039556,0.10253026477278342,-0.9483896189332779,0.06929997386560637
MSFT,-0.31983000011620416,0.059799425203868085,-0.052191491143023926,-0.0017452000192754048,-0.007430425393780849,-0.07440249256306847,-0.3617168552421618,0.043464215762212016
MU,-0.4119797891293582,0.044877665855639924,-0.03180774245804553,-0.001158775187510617,-0.027536113128918228,-0.07295321077586216,-0.5294266167933994,-0.026074962062109575
NOW,-0.3365897608290489,0.04784776971660156,-0.042024635476040496,0.030071044459943217,0.01668533821586905,-0.09618970535799375,-0.584234349199233,-0.05202592280238354
NVDA,-0.3324476001727217,0.07890587271113907,-0.08367966749621543,-0.04792496767694244,-0.026442809833753283,-0.06555797654031481,-0.89980097845057,0.039570804540421396
PANW,-0.5336341082875826,-0.00358392106025742,-0.028087474463022167,0.0008408869104902652,0.021412946236361335,0.04530843750963792,-0.1616234120630667,-0.01832932121609188
PLTR,0.0,0.05762912361261735,-0.03851265974371737,0.027274391314292625,-0.002097150949052706,0.3899833131861767,-0.8125789803727543,-0.04698016460250926
SAP,-0.3372855386506598,0.03627749441200228,-0.02141812621436045,-0.0016079597102514542,-0.00010135388685343001,0.01597786966344538,-0.49801340771078206,-0.0110973733594572
SNPS,-0.4066934164039619,0.04789819214523931,-0.04745375570076052,0.00018291753140606842,0.00487760688320961,-0.027583575728992234,-0.24846138478024724,0.01521800690720965
TSM,-0.21613722398780752,0.04498326496404986,-0.06386623168177155,-0.002414678148672268,-0.036137037468477344,-0.06483906568009963,-0.5910668507596799,-0.024495688839565648
XYZ,0.0,0.0,0.0,0.0,0.0,-0.04403661904471555,0.0,0.0
