,absorption_ratio
2026-01-26,0.6542766352625995
2026-01-27,0.6538996698558688
2026-01-28,0.6533375228635965
2026-01-29,0.6533421623285162
2026-01-30,0.6477327531159724
2026-02-02,0.6476887926162082
2026-02-03,0.6468728499987911
2026-02-04,0.6521495579093105
2026-02-05,0.6540539203448127
2026-02-06,0.6564914550069979
2026-02-09,0.6572561742578193
2026-02-10,0.6595318390967686
2026-02-11,0.6597109692823254
2026-02-12,0.6597004569532561
2026-02-13,0.6594472835090072
2026-02-17,0.659430169088219
2026-02-18,0.6601330498985083
2026-02-19,0.6600217331197826
2026-02-20,0.6600889895923038
2026-02-23,0.6603363964656016
2026-02-24,0.6624476896849376
2026-02-25,0.6616795492191238
2026-02-26,0.6615371248561547
2026-02-27,0.6616759582321488
2026-03-02,0.6592504317591869
2026-03-03,0.6586949617592569
2026-03-04,0.6569350332466163
2026-03-05,0.6566643981227346
2026-03-06,0.6563502513981231
2026-03-09,0.6569203459082853
2026-03-10,0.6584174479951233
2026-03-11,0.6564056834913442
2026-03-12,0.6571178519028513
2026-03-13,0.6514940247119105
