ticker,p_raw_returns,p_bh_returns,reject_returns,p_raw_vol,p_bh_vol,reject_vol
NVDA,0.07014529447154061,0.17536323617885152,False,8.845524266663106e-05,0.0004422762133331553,True
AVGO,0.009057019545468125,0.09057019545468126,False,0.08801690754534654,0.09264937636352266,False
TSM,0.12393197914042274,0.1770456844863182,False,0.05205368146514331,0.057837423850159234,False
SNPS,0.023893250652507775,0.1261126817106179,False,0.04766221094887025,0.056073189351612054,False
MSFT,0.02522253634212358,0.1261126817106179,False,0.016911425716940175,0.02974292504299403,True
AMZN,0.1204913222560021,0.1770456844863182,False,6.773675458334771e-06,4.5157836388898476e-05,True
META,0.09478062728220242,0.1770456844863182,False,0.00380337500937313,0.008451944465273623,True
GOOG,0.0031344137457010057,0.06268827491402011,False,0.00014108186980171846,0.0005643274792068738,True
AAPL,0.7078867131462722,0.7078867131462722,False,6.938183494414154e-07,6.938183494414155e-06,True
CRM,0.44519859620293983,0.49047426846021824,False,0.0012686039888294112,0.003171509972073528,True
NOW,0.03557016111027199,0.14228064444108796,False,0.00019320517565399634,0.0006440172521799878,True
PLTR,0.09408404748531146,0.1770456844863182,False,0.027363550578654427,0.039090786540934896,True
SAP,0.46595055503720734,0.49047426846021824,False,0.030232059002194223,0.04030941200292563,True
PANW,0.23802871934503617,0.28003378746474844,False,3.5507249161574764e-07,6.938183494414155e-06,True
CRWD,0.049901825027530586,0.1425766429358017,False,0.0011735284007543193,0.003171509972073528,True
DDOG,0.2081010934877853,0.2601263668597316,False,0.008815828533772286,0.017631657067544573,True
XYZ,0.18549865187538217,0.2473315358338429,False,0.017849701991588196,0.02974292504299403,True
ANET,0.12111901839398378,0.1770456844863182,False,0.019332901277946117,0.02974292504299403,True
MU,0.09831693915658819,0.1770456844863182,False,0.046510243205725194,0.056073189351612054,False
AMD,0.04856741856020779,0.1425766429358017,False,0.19382009140830295,0.19382009140830295,False
