ticker,alpha,var_historical,var_gaussian,var_cornish_fisher,cvar_historical,cvar_gaussian
NVDA,0.05,0.046322990903658684,0.04903906722105,0.04903906722105,0.06985073419148993,0.06204043900508529
NVDA,0.01,0.07961758099910997,0.07024324433952701,0.11695423168997593,0.10790208714285922,0.08078681394004843
AVGO,0.05,0.03542743609440786,0.03895762745910834,0.03895762745910834,0.05472846692753057,0.04917079941473302
AVGO,0.01,0.06292829369716703,0.0556144780350183,0.12364643483456361,0.09612536269974818,0.06389693400542976
TSM,0.05,0.032519086797989476,0.033841416850218325,0.033841416850218325,0.04657540265623432,0.042699168384319815
TSM,0.01,0.053847198682770075,0.04828768725309842,0.0690217823930607,0.07138722209437752,0.05547095386182683
SNPS,0.05,0.032716393819174586,0.035768919416024905,0.035768919416024905,0.05159853667038021,0.045076347277613366
SNPS,0.01,0.053927541761844146,0.05094857523795196,0.3603458208758569,0.08991329753483114,0.058496510570513624
MSFT,0.05,0.026481728574620438,0.027034140789426876,0.027034140789426876,0.03949425156829174,0.034104265348739546
MSFT,0.01,0.04451917332628374,0.03856493737732584,0.07421289179511212,0.06398147162325106,0.044298513157921826
AMZN,0.05,0.0310933626597043,0.03275022017985292,0.03275022017985292,0.04734968716984841,0.04126761176890393
AMZN,0.01,0.056063650724013946,0.0466413912686939,0.07169175749281452,0.07401774186566344,0.05354864017486911
META,0.05,0.034116126427027625,0.03931145019409198,0.03931145019409198,0.05623555012382088,0.04946826934841162
META,0.01,0.06354784398937854,0.05587639394664185,0.21125815086913274,0.10351681665856743,0.06411315014839708
GOOG,0.05,0.027595494895441375,0.02879911478852891,0.02879911478852891,0.04263044684426438,0.03632814213828486
GOOG,0.01,0.0503693126164436,0.041078344404138926,0.06318518492434333,0.06664669216915547,0.04718407118474352
AAPL,0.05,0.02816827489343649,0.02898388511458751,0.02898388511458751,0.042592356081776306,0.036578448774490485
AAPL,0.01,0.0493348034598844,0.041369999107564184,0.07134473183676802,0.06843082763972835,0.04752887309900732
CRM,0.05,0.034471057928300824,0.03542948451276849,0.03542948451276849,0.05146917786971874,0.04453342763354522
CRM,0.01,0.05774251826953555,0.05027727331660307,0.11986815302269022,0.08463970191390016,0.05766019102156122
NOW,0.05,0.04028260575082735,0.03991531536139638,0.03991531536139638,0.0583572623837476,0.05028571716272865
NOW,0.01,0.07146214562715938,0.05682859499356858,0.08199704867566497,0.09029894690610983,0.06523855780318395
PLTR,0.05,0.06529196489249124,0.06950722387661991,0.06950722387661991,0.09029333635458442,0.0876817451722243
PLTR,0.01,0.10599834312853854,0.099148385978356,0.12311239331519537,0.13812489501356429,0.113887163810374
SAP,0.05,0.025408728897562766,0.0286311695906693,0.0286311695906693,0.04100469456476407,0.03599287099221733
SAP,0.01,0.045674419405704575,0.04063750423017577,0.15365879004503957,0.07529702000372035,0.04660753665404566
PANW,0.05,0.0345899333517743,0.03958671156807306,0.03958671156807306,0.05803472302690579,0.04983491095268347
PANW,0.01,0.06877577117548243,0.05630068902417349,0.20844876484279456,0.10782965255788698,0.06461155077680342
CRWD,0.05,0.05404343732620446,0.056691504278569095,0.056691504278569095,0.08143294724270482,0.07139655025935454
CRWD,0.01,0.1003151498973644,0.08067423507739145,0.1050839356675549,0.122974254618259,0.09259941330878863
DDOG,0.05,0.05709226409832597,0.059686128631614994,0.059686128631614994,0.08164049134659633,0.07503349607057554
DDOG,0.01,0.0880815784988059,0.0847164333474349,0.11543841684110824,0.11972477582823139,0.09716250745910321
XYZ,0.05,0.05479809957628197,0.060326113492429674,0.06432307991549345,0.09072695778385288,0.07524293467119796
XYZ,0.01,0.09175795343160621,0.08465423236890417,0.17666596694546963,0.17169081847780684,0.09675115144247448
ANET,0.05,0.04054865350451258,0.044845530055862184,0.044845530055862184,0.06715885134635892,0.056583317721502935
ANET,0.01,0.07948056033729416,0.06398890452246575,0.1565006324587869,0.11908578412626275,0.07350776016820544
MU,0.05,0.04576099812020431,0.048792560003562704,0.048792560003562704,0.06814186883809391,0.0615525726935708
MU,0.01,0.0813363735089558,0.06960310012250462,0.10016778127182147,0.10830162891033253,0.07995093757653675
AMD,0.05,0.05363035111845894,0.05814422107518835,0.05814422107518835,0.07949344602790398,0.07336829504916413
AMD,0.01,0.0926097341161932,0.08297344420419463,0.15550054987898704,0.12429695004753098,0.09531953246429668
