regime,ticker,ann_return,ann_vol,sharpe,skewness,excess_kurtosis,n_days
QE Era,NVDA,0.966838843040394,0.4181635840792692,2.3121067444675316,2.4812747710513183,23.981132647480237,463
QE Era,AVGO,0.3365381691916118,0.24795874862184178,1.357234503973325,0.18192485649126838,2.7328426541709887,463
QE Era,TSM,0.26025008024558244,0.19198589088318932,1.355568781895162,-0.611188399948491,2.0172820387937294,463
QE Era,SNPS,0.3371474073219629,0.1604689885154972,2.101012852644753,-0.06675826661263048,7.92526133214715,463
QE Era,MSFT,0.2648711908481544,0.17483877909035758,1.5149453240649067,-0.25171343687192543,7.951235122658549,463
QE Era,AMZN,0.3825906309236715,0.2161853262243276,1.7697345032875693,1.922139947814943,18.04429728096711,463
QE Era,META,0.2581239814124135,0.1868734517805458,1.3812768959581296,-0.14756782390068657,4.638199309608691,463
QE Era,GOOG,0.2043834046784944,0.16259973141926437,1.2569725847301099,-0.46395382810687236,3.5125336828185705,463
QE Era,AAPL,0.283460557862882,0.1891729043059097,1.4984205000336657,0.1213481366781327,5.182087216008947,463
QE Era,CRM,0.2059783459817194,0.2064069817336996,0.9979233466407973,-0.40783504661726816,4.267116252999701,463
QE Era,NOW,0.4423206858644818,0.3023174725509815,1.4630999727939666,0.14450211760160486,7.77640686102098,463
QE Era,SAP,0.19928880966068946,0.1708536384372863,1.1664300010434991,-1.1384623991937644,13.044332087787682,463
QE Era,PANW,-0.013719760884642369,0.3924079593195424,-0.034963003575241465,-3.207674462602271,40.97921586175589,463
QE Era,ANET,0.6664512104657133,0.3709093916371834,1.7968032772748537,0.7705882904875117,17.378985578342906,463
QE Era,MU,0.7142299800360528,0.4092606429732437,1.7451714263243903,0.014528416180892402,2.4886066104379485,463
QE Era,AMD,0.8441049293957401,0.6887146482363031,1.2256236041405082,1.4084536744091,22.339329668190917,463
Rate Hike,NVDA,-0.37265481471650597,0.5039730691631322,-0.7394339847073861,-1.602285261331667,7.907848785023672,251
Rate Hike,AVGO,-0.010291762967990887,0.35762001233983687,-0.028778487257057905,-1.0935310014740665,7.236755722437685,251
Rate Hike,TSM,-0.0718937663804386,0.27487629924404344,-0.2615495281992615,-0.1522990754945329,0.20854297550757872,251
Rate Hike,SNPS,-0.011847955398221054,0.24547286937484328,-0.04826584472815579,-0.31131473513890456,2.0864313326911463,251
Rate Hike,MSFT,0.17244841856644094,0.282635185541392,0.6101449054763418,-0.015185764922597024,2.3054034414333375,251
Rate Hike,AMZN,0.25122389873492573,0.36156208185473887,0.6948292183909301,-0.2769401663718948,2.198798420504247,251
Rate Hike,META,-0.2983942818607083,0.39158115568032054,-0.7620241105379233,-2.4919280258485355,20.987745389380297,251
Rate Hike,GOOG,-0.010406394898074505,0.2823677514387254,-0.036854048824809665,-0.44198233554802707,1.3133387475397753,251
Rate Hike,AAPL,-0.07059069016587877,0.287786852739959,-0.24528809948682306,-0.13888959385611382,1.9020247266412071,251
Rate Hike,CRM,0.2937022080053336,0.3409314052225942,0.8614700890156346,-0.20018900312928875,3.464983724891152,251
Rate Hike,NOW,0.31277567467753686,0.3845701166695251,0.8133124783232084,-0.3074469860299391,1.7576228984109883,251
Rate Hike,SAP,-0.1215302092374871,0.2431145196556154,-0.49988873313548315,-1.116629577614426,3.9345412613130244,251
Rate Hike,PANW,0.2630257722567283,0.3045326816725496,0.8637029392449516,-0.08343135827359356,0.8294715988355934,251
Rate Hike,ANET,-0.11205994228759868,0.49279367574575267,-0.2273972816676605,-1.3848733391063015,8.085293386731117,251
Rate Hike,MU,-0.2602648008317797,0.495331647450616,-0.5254354373909207,-0.2650893381064542,0.9353469799392036,251
Rate Hike,AMD,0.5877382400313519,0.6313977003972653,0.9308526775779457,-0.2705795381545012,2.206858415661936,251
Late Cycle,NVDA,0.7082457852291192,0.40183614758805114,1.762523828381883,-0.5963620639787177,4.533854000989949,284
Late Cycle,AVGO,0.17795525941739235,0.2977551949627443,0.597656270748386,-0.543989516471265,3.2079611207122105,284
Late Cycle,TSM,0.37274554640312885,0.2614422419318811,1.4257280829937493,-0.2666441730397399,1.243277244987142,284
Late Cycle,SNPS,0.5852694934040216,0.24402839726684927,2.3983663375210353,-0.4032926668468192,1.0923179089275297,284
Late Cycle,MSFT,0.5426780707946316,0.2023295696546713,2.682149088345587,-0.2016589407381208,0.8869451509345776,284
Late Cycle,AMZN,0.3206114056637613,0.23345920333697828,1.373308060170951,0.222593678225341,2.9826012493644334,284
Late Cycle,META,0.45048828113963124,0.27841734959591324,1.6180323596695991,0.15254672933511673,5.403346035911667,284
Late Cycle,GOOG,0.3402910203494752,0.23713605730931162,1.4350032812834197,0.22999714573086968,10.066788273497183,284
Late Cycle,AAPL,0.6248916405552478,0.26350424903846437,2.371467036434888,-1.0622228325092256,7.296335734107865,284
Late Cycle,CRM,0.2954634066773609,0.2530124586458607,1.1677820462229427,-0.23698774944330506,0.8957404998175695,284
Late Cycle,NOW,0.6185029243334929,0.34887178699577254,1.7728659851218853,0.6286746839488946,4.752791007230456,284
Late Cycle,SAP,0.2882497915104877,0.2447859536518457,1.1775585453749513,1.7603520280892644,14.870412617011922,284
Late Cycle,PANW,0.2484809791646731,0.280634372168134,0.8854260340419129,-1.5755890146547924,11.715234551924938,284
Late Cycle,CRWD,0.1901979118425605,0.7343083767460693,0.2590163994660961,0.3122609134657546,0.9009764275939713,172
Late Cycle,DDOG,0.5533601046102969,0.6534943964621602,0.8467710015664053,0.5224960560824335,1.2352284019074329,103
Late Cycle,ANET,0.061376221756635395,0.43630559834142346,0.14067255150965652,-4.132810277966643,38.01356492293804,284
Late Cycle,MU,0.5313834897002723,0.43419662420781324,1.22383146269222,0.2041880113575229,2.2981385104695913,284
Late Cycle,AMD,0.9986949785764592,0.5132328581415766,1.945890569424467,0.9420877623078371,5.43684893985338,284
COVID Crash,NVDA,-0.9899436841444886,1.193181865423768,-0.8296670548147346,-0.270272807074342,0.7039222656702324,30
COVID Crash,AVGO,-2.272257124070347,1.2326108161544036,-1.8434505800943026,-0.6246750188326031,1.3165197196526957,30
COVID Crash,TSM,-1.358652921031046,0.795340094425294,-1.7082666026195965,-0.7051731605203135,1.3026036823379203,30
COVID Crash,SNPS,-1.9746396832427924,0.8480641240938787,-2.328408462452781,-0.10164247116726978,0.5304992734934846,30
COVID Crash,MSFT,-1.4412706452842077,0.978969063131704,-1.4722330863792668,0.02871229220606537,0.4390327378657424,30
COVID Crash,AMZN,-0.8434928307797358,0.5958500993482728,-1.4156124698180448,0.04751540355601773,-0.6231033154017296,30
COVID Crash,META,-2.240966416836396,0.8235148223586476,-2.7212217145260276,-0.3490826202464733,1.191438574286598,30
COVID Crash,GOOG,-2.24829108270399,0.7505111007468149,-2.9956799845688775,-0.016809422928208237,-0.10995809152217673,30
