factor,lag,f_stat,p_value,p_value_bh,reject_bh
vix_change,1,0.007555063614487435,0.9307421200594022,0.9307421200594022,False
vix_change,2,0.0808899987945978,0.9222975398010916,0.9307421200594022,False
vix_change,3,0.47917578362791025,0.6967913578487508,0.9307421200594022,False
vix_change,4,0.42211201587869085,0.7927959592334102,0.9307421200594022,False
vix_change,5,0.3764206116949929,0.865149779010044,0.9307421200594022,False
tlt_return,1,11.572796561535315,0.0006796896984174455,0.010195345476261683,True
tlt_return,2,5.500525403661876,0.004133935245769133,0.0310045143432685,True
tlt_return,3,4.06228149497472,0.006855372733265814,0.03427686366632907,True
tlt_return,4,3.2813350775085355,0.01081456992557509,0.04055463722090659,True
tlt_return,5,2.5937372578463274,0.023919083536972374,0.059797708842430936,False
dxy_change,1,3.3407465717420295,0.06770226167876206,0.13269121397059838,False
dxy_change,2,1.2671003673908376,0.2818269200098892,0.42274038001483377,False
dxy_change,3,2.312839742648335,0.07415187147539273,0.13269121397059838,False
dxy_change,4,2.0897687404678966,0.07961472838235903,0.13269121397059838,False
dxy_change,5,2.754451052778682,0.01732875806056374,0.05198627418169123,False
