alpha,beta,alpha_pvalue,beta_pvalue,f_stat,f_pvalue,r_squared,ticker,model
0.05069912914055072,0.8665936820747917,0.31593645494481803,4.828189680986208e-12,0.5713585855143739,0.5650468018039005,0.17891866647515264,NVDA,ridge
0.16964069035961823,0.6127586194451755,0.00019199875863333833,8.343008848267272e-05,11.491413481086076,1.2510218661168076e-05,0.06188711069925368,AVGO,ridge
0.1774202845531529,0.4899869660025108,9.074566402502935e-07,5.313820250778927e-05,14.036099675361774,1.0831739749513795e-06,0.06594995541353377,TSM,ridge
0.19889894964862034,0.48162826217025856,0.0007580758517021758,0.005279697145844137,5.774685735059047,0.003270017472009847,0.026633979448702938,SNPS,ridge
0.14241447642916819,0.34115175660152974,5.6241848233327193e-14,8.601549177685155e-05,29.834492889666322,4.116008309379449e-13,0.05414574868802957,MSFT,ridge
0.18407480996383155,0.35068492888735897,3.590670588948225e-08,0.002195516764151321,16.120635201493233,1.4801798485096672e-07,0.03871125427973887,AMZN,ridge
0.1528968798505038,0.5151620430418057,0.004975794394402292,0.0030866725178099004,3.988853240424036,0.01898545908228414,0.05490156766230736,META,ridge
0.1564791601232547,0.44008898629449245,6.489294817976881e-07,0.001089707340604345,14.603725843310862,6.291988007049352e-07,0.057296332238782166,GOOG,ridge
0.12163119882299903,0.3611194031378375,1.7125487641628893e-08,6.128813971969159e-05,31.18425100501869,1.200953791603559e-13,0.06764989090976026,AAPL,ridge
0.18095443727304727,0.3367327272821627,5.155011488412103e-12,0.0005994812677233769,24.03451528517901,8.650146502050985e-11,0.04389802644061702,CRM,ridge
0.09594565042195227,0.6394607870529623,0.0300761200525265,1.1614324235835098e-05,3.670750403779893,0.02599740325576939,0.12712582286133112,NOW,ridge
0.27764465393442916,0.438261489320236,0.04478144381930416,0.11118131542093765,2.085198745973248,0.125962681392374,0.02265145637317134,PLTR,ridge
0.13037473580806994,0.4644900226771572,0.0007635257413719079,0.018466835125709995,9.056782662144208,0.00013230447193425768,0.03306038197206951,SAP,ridge
0.21896533827411455,0.330348884712263,9.915232995897946e-07,0.01784570376858913,12.283693148350535,5.828574701751953e-06,0.008251870141901763,PANW,ridge
0.22827820983163594,0.39646509287326925,0.00015658009150837536,0.005541163153993894,9.287948097223484,0.00011350200276738938,0.03547965914400597,CRWD,ridge
0.31624718267434776,0.17263749629487918,0.002366707830941468,0.45895180567739524,8.258120645415486,0.00030667471175344996,0.0042964503615608995,DDOG,ridge
0.21901303456062363,0.4753723444660438,0.011834975566111846,0.03602157970375794,3.5901616465163606,0.028153654518195462,0.020202519318107126,ANET,ridge
0.05853860482064799,0.9278706889109116,0.35185015513765616,2.6937528929851827e-09,2.331308528031901,0.0979970645231427,0.13702194942091916,MU,ridge
0.27157329747041137,0.39789603993583217,0.0030437326676592985,0.034015135580450176,5.679220957949109,0.0035915141140869513,0.017838207807561735,AMD,ridge
