ticker,mean_daily,std_daily,annualized_return,annualized_vol,skewness,excess_kurtosis,jarque_bera_stat,jarque_bera_p,adf_stat,adf_pvalue
NVDA,0.0021380583587308384,0.031114182650319185,0.5387907064001712,0.49392233723871076,0.09829445191229853,6.73963942646044,4756.865328312912,0.0,-18.01728623214267,2.702414971588617e-30
AVGO,0.0012474310774647412,0.02444300507557972,0.3143526315211148,0.3880206763504409,-0.17590978187382636,11.388384133470591,13587.577974184802,0.0,-19.358774672673672,0.0
TSM,0.0010392507041862241,0.021197212715080856,0.26189117745492846,0.3364953199910411,6.462202672274337e-05,4.183412803764561,1830.4196627119604,0.0,-10.317893101377898,3.063010432224129e-18
SNPS,0.0008705992881219482,0.022274216011910014,0.21939102060673094,0.3535922172986809,-3.2351017757635963,66.05155427097101,461187.86839479534,0.0,-17.143190326143422,7.022405964992314e-30
MSFT,0.0007998181991599646,0.01692131050816147,0.20155418618831106,0.26861747677139547,-0.2624616127418952,8.285183002593769,7212.4699714008375,0.0,-17.096851068554006,7.524068967238923e-30
AMZN,0.0007809397534170185,0.020383153740685167,0.19679681786108866,0.32357253439829337,-0.013317751834061491,5.209951805038265,2839.654655791023,0.0,-51.27101591682929,0.0
META,0.0006819975745540709,0.024302099107875483,0.1718633887876259,0.3857838634576991,-1.1936728390753062,25.884065628871365,70738.95697831169,0.0,-52.383189681913315,0.0
GOOG,0.0008429538492093084,0.018019330341038198,0.2124243700007457,0.2860480012458466,-0.18139502051101777,4.723235906512662,2347.4124418350757,0.0,-16.883860252630114,1.0577978977271328e-29
AAPL,0.0009107328442419571,0.01818103687377926,0.22950467674897318,0.28861501287189084,-0.07867769040802798,6.798441359470938,4838.733101580752,0.0,-16.30057421421179,3.269403566267866e-29
CRM,0.000401517286422191,0.02178772363861501,0.10118235617839212,0.3458693902918718,-0.228994768490838,13.012666513198415,17745.851569140883,0.0,-17.413584890051418,4.8703223437380075e-30
NOW,0.0009054475055383545,0.024816688022624347,0.22817277139566533,0.39395270923283576,-0.06437251009932357,4.138189838557152,1792.7777510164487,0.0,-18.0042508176309,2.7278511838220093e-30
PLTR,0.002021678974655952,0.04346480451206356,0.5094631016133,0.6899823811377498,0.592424331374742,4.789399306092584,1375.417091799452,2.1476987186945397e-299,-20.36157611723387,0.0
SAP,0.0003532120032981571,0.017617375310878577,0.0890094248311356,0.2796671629576437,-1.6840567616979916,26.693189390068405,75785.73185290243,0.0,-16.132197646423037,4.77228523329581e-29
PANW,0.0007563796334674529,0.024515890831485133,0.19060766763379813,0.389177701855909,-1.6695171028339115,25.79204622555905,70813.3119747303,0.0,-50.106004079633195,0.0
CRWD,0.0011964460856211641,0.0351878092103756,0.30150441357653335,0.5585891541110516,-0.07979793705543478,2.7225361812656432,521.4654490856145,5.8239344665050074e-114,-18.307860625943874,2.2793764375058097e-30
DDOG,0.0007363593124829449,0.03671281360531397,0.1855625467457021,0.5827978483747762,0.32440161959933533,4.773425266665299,1562.2756891713957,0.0,-40.9078098700091,0.0
XYZ,-0.0014055755647233927,0.035800031615117744,-0.3542050423102949,0.5683078834911094,-1.1484721150070267,9.406766914222187,1079.6202294645743,3.6597034564889985e-235,-16.24533013757211,3.691884329835368e-29
ANET,0.0013593483006768305,0.028081231274024256,0.3425557717705613,0.445775726757346,-0.666605024807957,12.713709770743254,17105.284200450693,0.0,-30.978801192775936,0.0
MU,0.00144689090619946,0.03053051034027334,0.36461650836226395,0.4846568265614954,-0.22378998567430153,3.660440663207118,1422.1864941041601,1.50012236744874e-309,-15.096026402048977,8.0655126410057e-28
AMD,0.0017777978457370475,0.03644002550079201,0.44800505712573596,0.5784674714636855,0.5713282847856204,10.82337736841464,12397.881715840282,0.0,-29.941129651940678,0.0
