pair,max_corr_lag,max_corr,lag0_corr
NVDA-AMD,0,0.5797120793446083,0.5797120793446083
TSM-NVDA,0,0.7641361911413475,0.7641361911413475
NVDA-AVGO,0,0.7301290617968123,0.7301290617968123
META-GOOG,0,0.4096927716848179,0.4096927716848179
