metric,value
Expected Return,0.2030703604323913
Return Std,0.3767484349283463
Median Return,0.15050310965274982
VaR 95%,-0.30507126089063363
VaR 99%,-0.43410190823584743
CVaR 95%,-0.38243056137439163
CVaR 99%,-0.4844395215850485
P(DD>20%),0.7007
P(DD>30%),0.2819
Expected MaxDD,-0.25754950499469176
