rmse,mae,mape,directional_accuracy,qlike,ticker,model,n_predictions
0.19689259162213688,0.1361412616242141,42.05475178062542,44.357366771159874,-0.5730356596405388,NVDA,ridge,639.0
0.2175555114796405,0.15743443871912977,49.57324313638938,49.21630094043887,-0.4748404695417083,NVDA,lasso,639.0
0.20518905446502833,0.14823926254793107,47.117463353163394,52.97805642633229,-0.5680713466583256,NVDA,random_forest,639.0
0.21378094472554193,0.15842681689398874,48.94452029329912,51.88087774294671,-0.495652745548088,NVDA,xgboost,639.0
0.22112151484501316,0.164222211854483,53.05058439227396,54.2319749216301,-0.5063719164293652,NVDA,lightgbm,639.0
0.2202078678768681,0.1523732326581964,44.39143609554658,46.86520376175549,-0.3612881468435261,NVDA,knn,639.0
0.23111460644436976,0.1471833234169867,43.66808224303695,42.78996865203762,-0.44837889246242935,AVGO,ridge,639.0
0.23697434699212735,0.1443770122634144,41.73705201434436,52.03761755485894,-0.395781781764328,AVGO,lasso,639.0
0.2218783974716281,0.14527505815798514,44.18186865013973,52.19435736677116,-0.651296705093196,AVGO,random_forest,639.0
0.22529161191536495,0.15295499142457888,45.868200558944885,55.64263322884012,-0.48303560482444685,AVGO,xgboost,639.0
0.2337801383491398,0.15831765506543882,48.551317694931306,52.82131661442007,-0.4176333765457463,AVGO,lightgbm,639.0
0.238333471276923,0.1546970751539302,46.07834643046618,49.059561128526646,-0.257402400530125,AVGO,knn,639.0
0.15083851748544785,0.10873972221468674,40.784776114397104,38.71473354231975,-0.9514286482434555,TSM,ridge,639.0
0.15467056946320357,0.11193005562894225,39.68925429104921,50.0,-0.919362239654121,TSM,lasso,639.0
0.1502492921132253,0.1152005634432267,43.94825791188916,53.60501567398119,-1.0316476034095938,TSM,random_forest,639.0
0.1554309421372547,0.12092506479603336,46.5750528424014,54.2319749216301,-0.9742897860669971,TSM,xgboost,639.0
0.15615187431892993,0.12144705147539804,45.81458960627071,53.91849529780565,-0.9021288785381621,TSM,lightgbm,639.0
0.1586919947369613,0.11562609566562271,41.14186529861005,44.827586206896555,-0.8101136837971122,TSM,knn,639.0
