ticker,max_drawdown,calmar
PLTR,-0.8461538461538461,0.7844649858983077
META,-0.7673609153644646,0.24425890511342668
DDOG,-0.6810643090895372,0.29917639815790875
CRWD,-0.6769220151886317,0.5194853283563944
NVDA,-0.6636205530533923,1.075263760198938
AMD,-0.654499429550688,0.8631158295479636
CRM,-0.5861723841509047,0.1815746420216636
MU,-0.5782339360845161,0.7605117237229014
TSM,-0.5714489036691605,0.5236694177330735
NOW,-0.5703141663368216,0.4492064352218676
AMZN,-0.5614526325328263,0.38721292702601545
SAP,-0.531889712776008,0.17494681476777682
ANET,-0.5220064856586243,0.7822733356624955
XYZ,-0.49940828072101595,-0.5955154699328054
AVGO,-0.48788891759415715,0.7567337227195768
PANW,-0.4798336493838788,0.437429244060631
GOOG,-0.44601849878478644,0.5304006558525057
SNPS,-0.40525292965923776,0.6050786257557152
AAPL,-0.38729694508624535,0.6658001629355783
MSFT,-0.37556466105038605,0.5943180003687558
