ticker,weight,ann_vol,var_95,cvar_95,max_dd,beta_spy,risk_contribution,pct_of_risk
NVDA,0.05,0.4750917512824442,-0.04316561749121767,-0.0681825750727033,-0.3593941259570427,,0.017992704449152006,6.14527328225326
AVGO,0.05,0.5184764587234928,-0.04685813837585864,-0.07185373413763045,-0.4021659374312318,,0.01841321704434789,6.288896205833824
TSM,0.05,0.4044168241849649,-0.03956063289522257,-0.05699628225043007,-0.3706259540989097,,0.014795280468776683,5.053217098361327
SNPS,0.05,0.5509072854043695,-0.04562798012289411,-0.08247562138942861,-0.4052529296592381,,0.014885497600450784,5.084030083171095
MSFT,0.05,0.26610096397039756,-0.023880017492974536,-0.037730919225379904,-0.2907373659750429,,0.008904144941345792,3.0411439349764726
AMZN,0.05,0.3412517848509048,-0.03180811425459423,-0.04757250423278742,-0.3087663843187599,,0.011966971842402077,4.087229495733561
META,0.05,0.38131707932608194,-0.03006738821579059,-0.04971575704836905,-0.34209345445636535,,0.011835875184482791,4.042454415279102
GOOG,0.05,0.3081244684732961,-0.025570691868221928,-0.0399353799549418,-0.29430457323619824,,0.009103485376953543,3.1092271659590596
AAPL,0.05,0.315054153512563,-0.03192890303777922,-0.04466757295546497,-0.3022258441518824,,0.009048491438894477,3.0904443987994403
CRM,0.05,0.3463352509633371,-0.037871739688001574,-0.051287817931657036,-0.5050423736070385,,0.010417269381626751,3.5579402410493612
NOW,0.05,0.429708754721711,-0.03744411121857979,-0.0673264873931763,-0.5703141663368217,,0.013516024180959952,4.616296706049479
PLTR,0.05,0.6550058959650592,-0.06327030675621144,-0.09240936598239458,-0.4061145842956553,,0.021469087846149038,7.332605963052201
SAP,0.05,0.3190240317795259,-0.03127573827207159,-0.05001336406484521,-0.39108131022582016,,0.008602682331668075,2.938181641226456
PANW,0.05,0.3576224588364188,-0.03920900309179992,-0.057391665806141794,-0.3600596483682519,,0.011663651740427413,3.9836327894183476
CRWD,0.05,0.47122763238969356,-0.0419147710288003,-0.06477071591218753,-0.37178271735117907,,0.017358279231290286,5.928590106473253
DDOG,0.05,0.5408010230853397,-0.043391256488743056,-0.07156321783056348,-0.4862057017996236,,0.015761603152991167,5.383257364966073
XYZ,0.05,0.5582114396124611,-0.05328607426785148,-0.08567282865104084,-0.49940828072101595,,0.01635101150392502,5.584565367416002
ANET,0.05,0.5790538323587565,-0.05701716735057828,-0.08398717052876109,-0.5041596124253693,,0.01907024043718973,6.513297618820777
MU,0.05,0.6414371463359256,-0.05503552538026435,-0.08750835883372789,-0.4074887921662333,,0.021223108605330172,7.248593597881363
AMD,0.05,0.622706538680306,-0.0539744069371758,-0.07805051736019637,-0.3680000073982006,,0.020410702905991025,6.9711225232795435
