ticker,model,distribution,aic,bic,log_likelihood,num_params,n_obs,param_mu,param_omega,param_alpha[1],param_beta[1],param_nu,param_eta,param_lambda,param_gamma[1],param_phi,param_d,param_beta
NVDA,"GARCH(1,1)",normal,12602.096445844789,12625.42608955354,-6297.048222922394,4,2521,0.3144505110475112,0.8164141189106311,0.13646240931819426,0.7887313969956895,,,,,,,
NVDA,"GARCH(1,1)",t,12240.28065193253,12269.442706568469,-6115.140325966265,5,2521,0.27056259473586197,0.2542569969319461,0.0864524426078117,0.8921399011143853,4.594353170829365,,,,,,
NVDA,"GARCH(1,1)",skewt,12239.50286251631,12274.497328079438,-6113.751431258155,6,2521,0.23357864402456138,0.25155080200475194,0.08578263824599837,0.8929183277171737,,4.595450803611912,-0.04557672150386583,,,,
NVDA,"GARCH(1,1)",ged,12295.152734743626,12324.314789379565,-6142.576367371813,5,2521,0.2853186064389863,0.385283932093458,0.09859765685596936,0.8643492896802054,1.1622467890236896,,,,,,
NVDA,"GJR-GARCH(1,1)",normal,12558.233902932076,12587.395957568015,-6274.116951466038,5,2521,0.25267214456821474,1.0926588684343486,0.03842561443739988,0.7473355497270394,,,,0.22011729696820656,,,
NVDA,"GJR-GARCH(1,1)",t,12212.10768189681,12247.102147459938,-6100.053840948405,6,2521,0.23930716997105686,0.28703129920141723,0.030831110745057785,0.887131021561454,4.735590879560035,,,0.11332808368918465,,,
NVDA,"GJR-GARCH(1,1)",skewt,12210.76151484585,12251.588391336165,-6098.380757422925,7,2521,0.19936333570466333,0.28946013028148343,0.03123490229365406,0.8872674278362664,,4.72009966144092,-0.050374954801848885,0.1142484006693312,,,
NVDA,"GJR-GARCH(1,1)",ged,12268.759313201796,12303.753778764923,-6128.379656600898,6,2521,0.2579470081336525,0.4434583136341491,0.03216379032200113,0.8560874444193746,1.176780615162629,,,0.13545320837032648,,,
NVDA,"EGARCH(1,1)",normal,12519.79077642773,12548.952831063669,-6254.895388213865,5,2521,0.25910070975855026,0.18700635935920018,0.22427945207604214,0.9192942010277093,,,,-0.10741678485132305,,,
NVDA,"EGARCH(1,1)",t,12191.615228056915,12226.609693620043,-6089.8076140284575,6,2521,0.23142286683166993,0.08463134603409456,0.1823886390986649,0.9651846432666988,4.8977800255234705,,,-0.07837913216352471,,,
NVDA,"EGARCH(1,1)",skewt,12190.241292954079,12231.068169444394,-6088.120646477039,7,2521,0.1954765809084026,0.08773011463610617,0.18373194024923434,0.9643041293838076,,4.881599687489519,-0.05046586262198046,-0.07961162890046307,,,
NVDA,"EGARCH(1,1)",ged,12247.145394517536,12282.139860080664,-6117.572697258768,6,2521,0.25027108224386707,0.10835687618782301,0.1919726547420975,0.9535522740926237,1.1948522651370486,,,-0.08728691363986592,,,
NVDA,"FIGARCH(1,d,1)",normal,12617.599237009543,12646.761291645482,-6303.799618504771,5,2521,0.34858484126106093,1.6602045062890498,,,,,,,0.0943912291451336,0.28243502803208653,0.2001558456946914
NVDA,"FIGARCH(1,d,1)",t,12228.626127475982,12263.62059303911,-6108.313063737991,6,2521,0.27530207215038716,0.798960901006224,,,4.7802320944418195,,,,0.15813729066934473,0.31919835582013983,0.3546341846126475
NVDA,"FIGARCH(1,d,1)",skewt,12228.158530942772,12268.985407433087,-6107.079265471386,7,2521,0.2418578067097199,0.7625029154385312,,,,4.776323398564947,-0.0429960617031347,,0.18129000544192467,0.32039310932024884,0.3778471990447413
NVDA,"FIGARCH(1,d,1)",ged,12289.648577329292,12324.64304289242,-6138.824288664646,6,2521,0.2899101847395762,1.020639752499318,,,1.1575532563844604,,,,0.11777621294816878,0.3048678479263454,0.2920520424855477
AVGO,"GARCH(1,1)",normal,11154.389145598503,11177.718789307255,-5573.194572799252,4,2521,0.1293322600600575,0.15299891271724966,0.09326722730116065,0.8859237814893673,,,,,,,
AVGO,"GARCH(1,1)",t,10818.763285199435,10847.925339835374,-5404.381642599717,5,2521,0.13877316195649178,0.28383960833055183,0.10888943585966723,0.8444409809144218,4.4488828881358025,,,,,,
AVGO,"GARCH(1,1)",skewt,10819.796570600864,10854.791036163992,-5403.898285300432,6,2521,0.1227114130096796,0.28371704035986656,0.1092508598911513,0.8440412101743485,,4.4597161674865555,-0.026257190315838508,,,,
AVGO,"GARCH(1,1)",ged,10859.970032975616,10889.132087611555,-5424.985016487808,5,2521,0.13511615906835556,0.20972053535900362,0.0957673512921785,0.8675908460886276,1.1529407601823813,,,,,,
AVGO,"GJR-GARCH(1,1)",normal,11154.970101251172,11184.132155887111,-5572.485050625586,5,2521,0.11931491749114331,0.1500436153459446,0.08191355309372968,0.8874692751961506,,,,0.02046867619197332,,,
AVGO,"GJR-GARCH(1,1)",t,10809.18848163963,10844.182947202758,-5398.594240819815,6,2521,0.12063138771683675,0.2258292415404799,0.05465905564201812,0.8671300043673427,4.46005390185917,,,0.08325438159446255,,,
