model,task,rmse,mae,mape,directional_accuracy,qlike
LSTM,vol_5d,0.26720558198863464,0.16734753220248724,37.49587491515781,49.2603550295858,0.2217526613248717
GRU,vol_5d,0.2542216476913449,0.16164356317539447,42.915590859169754,51.03550295857988,
LSTM,ret_5d,0.06643687926681212,0.05105205555834662,211.03467775604759,50.591715976331365,
GRU,ret_5d,0.06642955413698803,0.0507349092643106,257.53859285762803,52.51479289940828,
