Date,Open,High,Low,Close,Volume,split_ratio,dividend,Adj Close
2016-03-01,35.180999755859375,35.94049835205078,34.98849868774414,35.94049835205078,43028000,0.0,0.0,35.94049835205078
2016-03-02,35.95000076293945,36.0,35.599998474121094,35.942501068115234,32580000,0.0,0.0,35.942501068115234
2016-03-03,35.933998107910156,35.97249984741211,35.30099868774414,35.62099838256836,39160000,0.0,0.0,35.62099838256836
2016-03-04,35.7495002746582,35.824501037597656,35.30099868774414,35.544498443603516,39442000,0.0,0.0,35.544498443603516
2016-03-07,35.345001220703125,35.40454864501953,34.345001220703125,34.757999420166016,59702000,0.0,0.0,34.757999420166016
2016-03-08,34.429500579833984,35.18949890136719,34.266998291015625,34.69850158691406,41526000,0.0,0.0,34.69850158691406
2016-03-09,34.923500061035156,35.284000396728516,34.70000076293945,35.262001037597656,28430000,0.0,0.0,35.262001037597656
2016-03-10,35.40599822998047,35.821998596191406,35.167999267578125,35.64099884033203,56670000,0.0,0.0,35.64099884033203
2016-03-11,36.0,36.34600067138672,35.85625076293945,36.340999603271484,39416000,0.0,0.0,36.340999603271484
2016-03-14,36.34049987792969,36.775001525878906,36.25749969482422,36.52450180053711,34366000,0.0,0.0,36.52450180053711
2016-03-15,36.34600067138672,36.614498138427734,36.23849868774414,36.416500091552734,34420000,0.0,0.0,36.416500091552734
2016-03-16,36.31850051879883,36.87350082397461,36.22549819946289,36.804500579833984,32488000,0.0,0.0,36.804500579833984
2016-03-17,36.8224983215332,37.153499603271484,36.79999923706055,36.888999938964844,37216000,0.0,0.0,36.888999938964844
2016-03-18,37.09299850463867,37.099998474121094,36.59149932861328,36.880001068115234,59614000,0.0,0.0,36.880001068115234
2016-03-21,36.82500076293945,37.125,36.67580032348633,37.10449981689453,36730000,0.0,0.0,37.10449981689453
2016-03-22,36.87300109863281,37.25,36.87300109863281,37.037498474121094,25394000,0.0,0.0,37.037498474121094
2016-03-23,37.11800003051758,37.2859992980957,36.807498931884766,36.90299987792969,28642000,0.0,0.0,36.90299987792969
2016-03-24,36.60049819946289,36.88734817504883,36.54999923706055,36.76499938964844,31898000,0.0,0.0,36.76499938964844
2016-03-28,36.839500427246094,36.949501037597656,36.625,36.67649841308594,26026000,0.0,0.0,36.67649841308594
2016-03-29,36.72949981689453,37.36249923706055,36.4379997253418,37.23849868774414,38076000,0.0,0.0,37.23849868774414
2016-03-30,37.505001068115234,37.89400100708008,37.4370002746582,37.5265007019043,35648000,0.0,0.0,37.5265007019043
2016-03-31,37.462501525878906,37.54249954223633,37.047000885009766,37.247501373291016,34376000,0.0,0.0,37.247501373291016
2016-04-01,36.93000030517578,37.516998291015625,36.849998474121094,37.49549865722656,31534000,0.0,0.0,37.49549865722656
2016-04-04,37.50299835205078,37.63999938964844,37.121498107910156,37.26449966430664,22684000,0.0,0.0,37.26449966430664
2016-04-05,36.900001525878906,37.13999938964844,36.76850128173828,36.88999938964844,22646000,0.0,0.0,36.88999938964844
2016-04-06,36.78850173950195,37.3120002746582,36.77799987792969,37.28450012207031,21074000,0.0,0.0,37.28450012207031
2016-04-07,37.26850128173828,37.349998474121094,36.81399917602539,37.013999938964844,29064000,0.0,0.0,37.013999938964844
2016-04-08,37.19850158691406,37.272499084472656,36.77750015258789,36.95750045776367,25816000,0.0,0.0,36.95750045776367
