Date,Open,High,Low,Close,Volume,split_ratio,dividend,Adj Close
2016-03-01,25.55500030517578,25.989999771118164,25.475000381469727,25.989999771118164,3944600,0.0,0.0,25.989999771118164
2016-03-02,25.924999237060547,26.125,25.864999771118164,26.125,2565200,0.0,0.0,26.125
2016-03-03,26.204999923706055,26.25,26.014999389648438,26.184999465942383,3599600,0.0,0.0,26.184999465942383
2016-03-04,26.28499984741211,26.575000762939453,26.09000015258789,26.354999542236328,6209800,0.0,0.0,26.354999542236328
2016-03-07,26.190000534057617,26.55500030517578,26.09000015258789,26.454999923706055,6493000,0.0,0.0,26.454999923706055
2016-03-08,26.25,26.354999542236328,25.915000915527344,25.954999923706055,7157600,0.0,0.0,25.954999923706055
2016-03-09,26.084999084472656,26.219999313354492,25.969999313354492,26.139999389648438,3137000,0.0,0.0,26.139999389648438
2016-03-10,26.30500030517578,26.524999618530273,25.895000457763672,26.280000686645508,5354400,0.0,0.0,26.280000686645508
2016-03-11,26.575000762939453,26.809999465942383,26.549999237060547,26.809999465942383,4448000,0.0,0.0,26.809999465942383
2016-03-14,26.69499969482422,26.790000915527344,26.584999084472656,26.690000534057617,4298600,0.0,0.0,26.690000534057617
2016-03-15,26.549999237060547,26.614999771118164,26.395000457763672,26.600000381469727,2575200,0.0,0.0,26.600000381469727
2016-03-16,26.514999389648438,26.934999465942383,26.5,26.90999984741211,6804800,0.0,0.0,26.90999984741211
2016-03-17,26.829999923706055,27.135000228881836,26.809999465942383,27.094999313354492,6516400,0.0,0.0,27.094999313354492
2016-03-18,27.125,27.450000762939453,27.125,27.440000534057617,2838400,0.0,0.0,27.440000534057617
2016-03-21,27.295000076293945,27.44499969482422,27.200000762939453,27.440000534057617,4020200,0.0,0.0,27.440000534057617
2016-03-22,27.28499984741211,27.510000228881836,27.21500015258789,27.424999237060547,1640600,0.0,0.0,27.424999237060547
2016-03-23,27.434999465942383,27.434999465942383,27.09000015258789,27.100000381469727,3672200,0.0,0.0,27.100000381469727
2016-03-24,26.905000686645508,27.065000534057617,26.799999237060547,27.05500030517578,3466200,0.0,0.0,27.05500030517578
2016-03-28,27.100000381469727,27.110000610351562,26.924999237060547,27.045000076293945,2957600,0.0,0.0,27.045000076293945
2016-03-29,26.94499969482422,27.459999084472656,26.854999542236328,27.420000076293945,5163600,0.0,0.0,27.420000076293945
2016-03-30,27.584999084472656,27.825000762939453,27.524999618530273,27.69499969482422,5981600,0.0,0.0,27.69499969482422
2016-03-31,27.59000015258789,27.65999984741211,27.514999389648438,27.540000915527344,3000000,0.0,0.0,27.540000915527344
2016-04-01,27.325000762939453,27.68000030517578,27.2549991607666,27.670000076293945,3118400,0.0,0.0,27.670000076293945
2016-04-04,27.684999465942383,27.700000762939453,27.405000686645508,27.454999923706055,5429000,0.0,0.0,27.454999923706055
2016-04-05,27.2549991607666,27.405000686645508,27.204999923706055,27.25,3150600,0.0,0.0,27.25
2016-04-06,27.1200008392334,27.530000686645508,27.020000457763672,27.5049991607666,2722200,0.0,0.0,27.5049991607666
2016-04-07,27.334999084472656,27.399999618530273,27.040000915527344,27.139999389648438,3979400,0.0,0.0,27.139999389648438
2016-04-08,27.424999237060547,27.520000457763672,27.174999237060547,27.270000457763672,2350800,0.0,0.0,27.270000457763672
2016-04-11,27.44499969482422,27.684999465942383,27.280000686645508,27.299999237060547,5078600,0.0,0.0,27.299999237060547
2016-04-12,27.354999542236328,27.395000457763672,26.94499969482422,27.2549991607666,3492600,0.0,0.0,27.2549991607666
2016-04-13,27.479999542236328,27.829999923706055,27.415000915527344,27.809999465942383,3935400,0.0,0.0,27.809999465942383
2016-04-14,27.5049991607666,27.549999237060547,27.270000457763672,27.510000228881836,4771400,0.0,0.0,27.510000228881836
2016-04-15,27.545000076293945,27.545000076293945,27.295000076293945,27.30500030517578,5842200,0.0,0.0,27.30500030517578
2016-04-18,27.200000762939453,27.405000686645508,27.139999389648438,27.34000015258789,3473600,0.0,0.0,27.34000015258789
2016-04-19,27.399999618530273,27.440000534057617,26.9950008392334,27.110000610351562,5667800,0.0,0.0,27.110000610351562
2016-04-20,26.975000381469727,27.3700008392334,26.954999923706055,27.239999771118164,5986000,0.0,0.0,27.239999771118164
2016-04-21,27.209999084472656,27.274999618530273,26.969999313354492,27.09000015258789,4348000,0.0,0.0,27.09000015258789
2016-04-22,27.110000610351562,27.315000534057617,26.889999389648438,27.104999542236328,3210000,0.0,0.0,27.104999542236328
2016-04-25,27.15999984741211,27.174999237060547,26.895000457763672,26.969999313354492,2096800,0.0,0.0,26.969999313354492
2016-04-26,27.149999618530273,27.485000610351562,27.149999618530273,27.260000228881836,4501000,0.0,0.0,27.260000228881836
2016-04-27,27.06999969482422,27.6200008392334,27.045000076293945,27.579999923706055,6979200,0.0,0.0,27.579999923706055
2016-04-28,27.260000228881836,27.565000534057617,26.844999313354492,26.895000457763672,6869000,0.0,0.0,26.895000457763672
2016-04-29,26.80500030517578,26.80500030517578,26.065000534057617,26.229999542236328,18970400,0.0,0.0,26.229999542236328
2016-05-02,26.280000686645508,26.459999084472656,26.149999618530273,26.405000686645508,6567800,0.0,0.0,26.405000686645508
2016-05-03,26.165000915527344,26.270000457763672,25.989999771118164,26.1299991607666,8778600,0.0,0.0,26.1299991607666
2016-05-04,25.90999984741211,26.110000610351562,25.770000457763672,25.850000381469727,6204600,0.0,0.0,25.850000381469727
2016-05-05,25.969999313354492,26.15999984741211,25.834999084472656,25.94499969482422,7554600,0.0,0.0,25.94499969482422
2016-05-06,25.774999618530273,25.979999542236328,25.649999618530273,25.950000762939453,6249600,0.0,0.0,25.950000762939453
2016-05-09,26.0,26.135000228881836,25.850000381469727,25.924999237060547,4660200,0.0,0.0,25.924999237060547
2016-05-10,25.989999771118164,26.219999313354492,25.875,26.21500015258789,4536800,0.0,0.0,26.21500015258789
2016-05-11,26.09000015258789,26.30500030517578,26.09000015258789,26.094999313354492,1805000,0.0,0.0,26.094999313354492
2016-05-12,26.190000534057617,26.209999084472656,25.440000534057617,25.6299991607666,13003400,0.0,0.0,25.6299991607666
2016-05-13,25.795000076293945,25.94499969482422,25.670000076293945,25.704999923706055,4632600,0.0,0.0,25.704999923706055
2016-05-16,25.719999313354492,26.360000610351562,25.719999313354492,26.219999313354492,3655800,0.0,0.0,26.219999313354492
2016-05-17,26.135000228881836,26.280000686645508,25.93000030517578,25.975000381469727,4212200,0.0,0.0,25.975000381469727
2016-05-18,25.959999084472656,26.6299991607666,25.959999084472656,26.434999465942383,6193200,0.0,0.0,26.434999465942383
2016-05-19,26.225000381469727,26.450000762939453,26.024999618530273,26.204999923706055,3431200,0.0,0.0,26.204999923706055
2016-05-20,26.549999237060547,27.075000762939453,26.549999237060547,27.075000762939453,8714400,0.0,0.0,27.075000762939453
2016-05-23,27.329999923706055,27.4950008392334,27.219999313354492,27.25,7665600,0.0,0.0,27.25
2016-05-24,27.385000228881836,27.915000915527344,27.385000228881836,27.90999984741211,6043200,0.0,0.0,27.90999984741211
2016-05-25,28.059999465942383,28.125,27.864999771118164,28.065000534057617,6215400,0.0,0.0,28.065000534057617
2016-05-26,28.104999542236328,28.209999084472656,28.030000686645508,28.15999984741211,5014000,0.0,0.0,28.15999984741211
2016-05-27,28.165000915527344,28.3799991607666,28.165000915527344,28.344999313354492,2803800,0.0,0.0,28.344999313354492
2016-05-31,28.469999313354492,28.469999313354492,28.2549991607666,28.450000762939453,7380000,0.0,0.0,28.450000762939453
2016-06-01,28.34000015258789,28.610000610351562,28.30500030517578,28.565000534057617,3819600,0.0,0.0,28.565000534057617
2016-06-02,28.440000534057617,28.559999465942383,28.385000228881836,28.559999465942383,4484600,0.0,0.0,28.559999465942383
2016-06-03,28.71500015258789,28.774999618530273,28.434999465942383,28.614999771118164,5199000,0.0,0.0,28.614999771118164
2016-06-06,28.625,28.760000228881836,28.469999313354492,28.545000076293945,5914800,0.0,0.0,28.545000076293945
2016-06-07,28.655000686645508,28.8799991607666,28.625,28.844999313354492,7954600,0.0,0.0,28.844999313354492
2016-06-08,28.84000015258789,28.905000686645508,28.75,28.850000381469727,4424600,0.0,0.0,28.850000381469727
2016-06-09,28.600000381469727,28.8799991607666,28.530000686645508,28.850000381469727,6188400,0.0,0.0,28.850000381469727
2016-06-10,28.485000610351562,28.565000534057617,28.270000457763672,28.350000381469727,5754000,0.0,0.0,28.350000381469727
2016-06-13,28.19499969482422,28.545000076293945,28.184999465942383,28.229999542236328,3332200,0.0,0.0,28.229999542236328
2016-06-14,28.174999237060547,28.280000686645508,27.934999465942383,28.19499969482422,7676600,0.0,0.0,28.19499969482422
2016-06-15,28.3799991607666,28.3799991607666,28.125,28.165000915527344,2736800,0.0,0.0,28.165000915527344
2016-06-16,27.860000610351562,28.225000381469727,27.700000762939453,28.18000030517578,7024600,0.0,0.0,28.18000030517578
2016-06-17,28.209999084472656,28.209999084472656,27.80500030517578,27.989999771118164,10150400,0.0,0.0,27.989999771118164
2016-06-20,28.389999389648438,28.7450008392334,28.389999389648438,28.459999084472656,5203600,0.0,0.0,28.459999084472656
2016-06-21,28.584999084472656,28.645000457763672,28.450000762939453,28.594999313354492,6131000,0.0,0.0,28.594999313354492
2016-06-22,28.600000381469727,28.8700008392334,28.530000686645508,28.559999465942383,7197800,0.0,0.0,28.559999465942383
2016-06-23,28.8700008392334,29.274999618530273,28.829999923706055,29.274999618530273,6354600,0.0,0.0,29.274999618530273
2016-06-24,27.975000381469727,28.459999084472656,27.565000534057617,27.565000534057617,15770000,0.0,0.0,27.565000534057617
2016-06-27,27.295000076293945,27.325000762939453,26.545000076293945,26.71500015258789,15619800,0.0,0.0,26.71500015258789
2016-06-28,27.110000610351562,27.44499969482422,27.0,27.44499969482422,10836000,0.0,0.0,27.44499969482422
2016-06-29,27.780000686645508,28.06999969482422,27.665000915527344,28.0049991607666,10907400,0.0,0.0,28.0049991607666
2016-06-30,28.104999542236328,28.729999542236328,27.9950008392334,28.5049991607666,7017200,0.0,0.0,28.5049991607666
2016-07-01,28.325000762939453,28.389999389648438,28.2549991607666,28.295000076293945,3211400,0.0,0.0,28.295000076293945
2016-07-05,28.05500030517578,28.079999923706055,27.709999084472656,27.844999313354492,5103200,0.0,0.0,27.844999313354492
2016-07-06,27.635000228881836,27.924999237060547,27.40999984741211,27.885000228881836,6892400,0.0,0.0,27.885000228881836
2016-07-07,27.94499969482422,28.405000686645508,27.844999313354492,28.200000762939453,3192400,0.0,0.0,28.200000762939453
2016-07-08,28.479999542236328,28.969999313354492,28.3799991607666,28.969999313354492,5685600,0.0,0.0,28.969999313354492
2016-07-11,29.139999389648438,29.424999237060547,29.110000610351562,29.360000610351562,2958400,0.0,0.0,29.360000610351562
2016-07-12,29.575000762939453,29.704999923706055,29.475000381469727,29.68000030517578,2907800,0.0,0.0,29.68000030517578
2016-07-13,29.709999084472656,29.825000762939453,29.6200008392334,29.684999465942383,1979000,0.0,0.0,29.684999465942383
2016-07-14,29.94499969482422,29.989999771118164,29.684999465942383,29.934999465942383,3159600,0.0,0.0,29.934999465942383
2016-07-15,29.915000915527344,29.915000915527344,29.75,29.850000381469727,4029400,0.0,0.0,29.850000381469727
2016-07-18,30.600000381469727,30.739999771118164,30.55500030517578,30.719999313354492,5257200,0.0,0.0,30.719999313354492
2016-07-19,30.610000610351562,30.655000686645508,30.5049991607666,30.600000381469727,1668200,0.0,0.0,30.600000381469727
2016-07-20,30.725000381469727,31.125,30.674999237060547,31.06999969482422,4552800,0.0,0.0,31.06999969482422
2016-07-21,31.024999618530273,31.040000915527344,30.665000915527344,30.80500030517578,7103200,0.0,0.0,30.80500030517578
2016-07-22,30.71500015258789,30.989999771118164,30.584999084472656,30.989999771118164,4302600,0.0,0.0,30.989999771118164
2016-07-25,31.0049991607666,31.15999984741211,31.0049991607666,31.135000228881836,2636200,0.0,0.0,31.135000228881836
2016-07-26,31.40999984741211,32.150001525878906,31.295000076293945,32.03499984741211,17223200,0.0,0.0,32.03499984741211
2016-07-27,32.2599983215332,32.2599983215332,31.764999389648438,31.920000076293945,5555600,0.0,0.0,31.920000076293945
2016-07-28,31.895000457763672,32.04499816894531,31.7549991607666,31.8799991607666,3439800,0.0,0.0,31.8799991607666
2016-07-29,31.8799991607666,31.94499969482422,31.610000610351562,31.75,3932000,0.0,0.0,31.75
2016-08-01,31.829999923706055,31.950000762939453,31.75,31.84000015258789,2496600,0.0,0.0,31.84000015258789
2016-08-02,31.774999618530273,31.905000686645508,31.2450008392334,31.420000076293945,11176000,0.0,0.0,31.420000076293945
2016-08-03,31.34000015258789,31.5,31.290000915527344,31.5,2550600,0.0,0.0,31.5
2016-08-04,31.5049991607666,31.739999771118164,31.485000610351562,31.725000381469727,3049800,0.0,0.0,31.725000381469727
2016-08-05,31.889999389648438,32.13999938964844,31.80500030517578,32.095001220703125,1860800,0.0,0.0,32.095001220703125
2016-08-08,32.209999084472656,32.25,32.040000915527344,32.095001220703125,1544600,0.0,0.0,32.095001220703125
2016-08-09,32.255001068115234,32.38999938964844,32.255001068115234,32.310001373291016,3950000,0.0,0.0,32.310001373291016
2016-08-10,32.380001068115234,32.380001068115234,31.9950008392334,32.095001220703125,1284600,0.0,0.0,32.095001220703125
2016-08-11,32.19499969482422,32.27000045776367,32.05500030517578,32.224998474121094,1214600,0.0,0.0,32.224998474121094
2016-08-12,32.25,32.43000030517578,32.244998931884766,32.36000061035156,2661400,0.0,0.0,32.36000061035156
2016-08-15,32.46500015258789,32.79999923706055,32.46500015258789,32.724998474121094,3495200,0.0,0.0,32.724998474121094
2016-08-16,32.685001373291016,32.689998626708984,32.5,32.53499984741211,1530000,0.0,0.0,32.53499984741211
2016-08-17,32.540000915527344,32.540000915527344,32.290000915527344,32.46500015258789,4162200,0.0,0.0,32.46500015258789
